ID,Nombre,Email,Hash_Unico,Estado_Ingreso,Fecha_Ingreso
1,Ana García,asistente0001@evento.com,32ABCAD4877C453A,FALSE,
2,Carlos López,asistente0002@evento.com,C4CB33A446C94131,FALSE,
3,María Martínez,asistente0003@evento.com,47CD6325C0D64ADE,FALSE,
4,Juan Rodríguez,asistente0004@evento.com,332E51B194B64009,FALSE,
5,Laura González,asistente0005@evento.com,AD746020884B4FB3,FALSE,
6,Pablo Hernández,asistente0006@evento.com,F6202C553AAC4DF6,FALSE,
7,Sofía Pérez,asistente0007@evento.com,70147A02DB114744,FALSE,
8,Diego Sánchez,asistente0008@evento.com,33CE0FEA9E7C4EA3,FALSE,
9,Valeria Gómez,asistente0009@evento.com,668F49DE10BB4D93,FALSE,
10,Martín Torres,asistente0010@evento.com,98F4DD4C2E514132,FALSE,
11,Lucía García,asistente0011@evento.com,D4EE15CCBED14649,FALSE,
12,Facundo López,asistente0012@evento.com,FC46095A74C44A6D,FALSE,
13,Ana Martínez,asistente0013@evento.com,40153700B7F545AC,FALSE,
14,Carlos Rodríguez,asistente0014@evento.com,BCD973E0B56948AF,FALSE,
15,María González,asistente0015@evento.com,8AEACA7A991144C6,FALSE,
16,Juan Hernández,asistente0016@evento.com,BB830E36794D455C,FALSE,
17,Laura Pérez,asistente0017@evento.com,16D558E260014727,FALSE,
18,Pablo Sánchez,asistente0018@evento.com,99CF0382C2644586,FALSE,
19,Sofía Gómez,asistente0019@evento.com,9AA85BB8F9084476,FALSE,
20,Diego Torres,asistente0020@evento.com,2EA55583B5864802,FALSE,
21,Valeria García,asistente0021@evento.com,02C6DBFA29F5479D,FALSE,
22,Martín López,asistente0022@evento.com,93BF0316627C4711,FALSE,
23,Lucía Martínez,asistente0023@evento.com,44DAAB2E88B24AA9,FALSE,
24,Facundo Rodríguez,asistente0024@evento.com,C995DEF6C4D04131,FALSE,
25,Ana González,asistente0025@evento.com,B7B1C5C93BBA4B63,FALSE,
26,Carlos Hernández,asistente0026@evento.com,BD2DFD649E7244BC,FALSE,
27,María Pérez,asistente0027@evento.com,A6CEA75D76DA493B,FALSE,
28,Juan Sánchez,asistente0028@evento.com,0360BB9C3BF84B0F,FALSE,
29,Laura Gómez,asistente0029@evento.com,22E0F83F4BFF4776,FALSE,
30,Pablo Torres,asistente0030@evento.com,F0EEEA44D8F4474C,FALSE,
31,Sofía García,asistente0031@evento.com,D6DB081B73B94DD6,FALSE,
32,Diego López,asistente0032@evento.com,9A91BD29942047C6,FALSE,
33,Valeria Martínez,asistente0033@evento.com,436F1FF0AB8D48D8,FALSE,
34,Martín Rodríguez,asistente0034@evento.com,C468CE2CDD8843A4,FALSE,
